==PROF== Connected to process 1844655 (/home/ysu34/DiaGPU/sim/paper_bench/bin_sm80/cusparse_fix_bench)
CSRNNZ,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_18_4.txt,4980734,2490368,0.5000
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_18_4.txt,262144,35,spmv,cusparse_csr,40.356,271.705,0.336896,-1
==PROF== Disconnected from process 1844655
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"7","1844655","cusparse_fix_bench","127.0.0.1","void spmv_fixup_kernel_v2<256, 8, int, float, float>(const T3 *, const T4 *, int, KernelCoeff<T4>, T5 *, T3 *, T4 *)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","0.05"
"7","1844655","cusparse_fix_bench","127.0.0.1","void spmv_fixup_kernel_v2<256, 8, int, float, float>(const T3 *, const T4 *, int, KernelCoeff<T4>, T5 *, T3 *, T4 *)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","9.63"
"7","1844655","cusparse_fix_bench","127.0.0.1","void spmv_fixup_kernel_v2<256, 8, int, float, float>(const T3 *, const T4 *, int, KernelCoeff<T4>, T5 *, T3 *, T4 *)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","%","20.21"
"8","1844655","cusparse_fix_bench","127.0.0.1","void unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(10, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes_read.sum","byte","571,904"
"8","1844655","cusparse_fix_bench","127.0.0.1","void unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(10, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"8","1844655","cusparse_fix_bench","127.0.0.1","void unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(10, 1, 1)","0","8.0","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","2.30"
"8","1844655","cusparse_fix_bench","127.0.0.1","void unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(10, 1, 1)","0","8.0","Command line profiler metrics","gpu__time_duration.sum","ns","12,896"
"8","1844655","cusparse_fix_bench","127.0.0.1","void unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(10, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_red.sum","","0"
"8","1844655","cusparse_fix_bench","127.0.0.1","void unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(10, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","40.44"
"8","1844655","cusparse_fix_bench","127.0.0.1","void unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(10, 1, 1)","0","8.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","30.17"
"8","1844655","cusparse_fix_bench","127.0.0.1","void unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(10, 1, 1)","0","8.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","0.38"
"8","1844655","cusparse_fix_bench","127.0.0.1","void unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(10, 1, 1)","0","8.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","11.86"
"8","1844655","cusparse_fix_bench","127.0.0.1","void unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(10, 1, 1)","0","8.0","Command line profiler metrics","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","%","77.16"
"9","1844655","cusparse_fix_bench","127.0.0.1","void csrmv_v3_kernel<std::integral_constant<bool, 1>, int, int, float, float, float, float, void>(KernelCoeffs<T7>, const T3 *, const T2 *, const T3 *, const T4 *, T2, int, int, const T5 *, T6 *, T3 *, T7 *)","1","7","(128, 1, 1)","(2432, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes_read.sum","byte","22,327,552"
"9","1844655","cusparse_fix_bench","127.0.0.1","void csrmv_v3_kernel<std::integral_constant<bool, 1>, int, int, float, float, float, float, void>(KernelCoeffs<T7>, const T3 *, const T2 *, const T3 *, const T4 *, T2, int, int, const T5 *, T6 *, T3 *, T7 *)","1","7","(128, 1, 1)","(2432, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes_write.sum","byte","454,912"
"9","1844655","cusparse_fix_bench","127.0.0.1","void csrmv_v3_kernel<std::integral_constant<bool, 1>, int, int, float, float, float, float, void>(KernelCoeffs<T7>, const T3 *, const T2 *, const T3 *, const T4 *, T2, int, int, const T5 *, T6 *, T3 *, T7 *)","1","7","(128, 1, 1)","(2432, 1, 1)","0","8.0","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","39.96"
"9","1844655","cusparse_fix_bench","127.0.0.1","void csrmv_v3_kernel<std::integral_constant<bool, 1>, int, int, float, float, float, float, void>(KernelCoeffs<T7>, const T3 *, const T2 *, const T3 *, const T4 *, T2, int, int, const T5 *, T6 *, T3 *, T7 *)","1","7","(128, 1, 1)","(2432, 1, 1)","0","8.0","Command line profiler metrics","gpu__time_duration.sum","ns","29,536"
"9","1844655","cusparse_fix_bench","127.0.0.1","void csrmv_v3_kernel<std::integral_constant<bool, 1>, int, int, float, float, float, float, void>(KernelCoeffs<T7>, const T3 *, const T2 *, const T3 *, const T4 *, T2, int, int, const T5 *, T6 *, T3 *, T7 *)","1","7","(128, 1, 1)","(2432, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_red.sum","","0"
"9","1844655","cusparse_fix_bench","127.0.0.1","void csrmv_v3_kernel<std::integral_constant<bool, 1>, int, int, float, float, float, float, void>(KernelCoeffs<T7>, const T3 *, const T2 *, const T3 *, const T4 *, T2, int, int, const T5 *, T6 *, T3 *, T7 *)","1","7","(128, 1, 1)","(2432, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","43.88"
"9","1844655","cusparse_fix_bench","127.0.0.1","void csrmv_v3_kernel<std::integral_constant<bool, 1>, int, int, float, float, float, float, void>(KernelCoeffs<T7>, const T3 *, const T2 *, const T3 *, const T4 *, T2, int, int, const T5 *, T6 *, T3 *, T7 *)","1","7","(128, 1, 1)","(2432, 1, 1)","0","8.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","26.53"
"9","1844655","cusparse_fix_bench","127.0.0.1","void csrmv_v3_kernel<std::integral_constant<bool, 1>, int, int, float, float, float, float, void>(KernelCoeffs<T7>, const T3 *, const T2 *, const T3 *, const T4 *, T2, int, int, const T5 *, T6 *, T3 *, T7 *)","1","7","(128, 1, 1)","(2432, 1, 1)","0","8.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","34.53"
"9","1844655","cusparse_fix_bench","127.0.0.1","void csrmv_v3_kernel<std::integral_constant<bool, 1>, int, int, float, float, float, float, void>(KernelCoeffs<T7>, const T3 *, const T2 *, const T3 *, const T4 *, T2, int, int, const T5 *, T6 *, T3 *, T7 *)","1","7","(128, 1, 1)","(2432, 1, 1)","0","8.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","61.66"
"9","1844655","cusparse_fix_bench","127.0.0.1","void csrmv_v3_kernel<std::integral_constant<bool, 1>, int, int, float, float, float, float, void>(KernelCoeffs<T7>, const T3 *, const T2 *, const T3 *, const T4 *, T2, int, int, const T5 *, T6 *, T3 *, T7 *)","1","7","(128, 1, 1)","(2432, 1, 1)","0","8.0","Command line profiler metrics","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","%","48.70"
"10","1844655","cusparse_fix_bench","127.0.0.1","void spmv_fixup_kernel_v2<256, 8, int, float, float>(const T3 *, const T4 *, int, KernelCoeff<T4>, T5 *, T3 *, T4 *)","1","7","(256, 1, 1)","(3, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes_read.sum","byte","49,408"
"10","1844655","cusparse_fix_bench","127.0.0.1","void spmv_fixup_kernel_v2<256, 8, int, float, float>(const T3 *, const T4 *, int, KernelCoeff<T4>, T5 *, T3 *, T4 *)","1","7","(256, 1, 1)","(3, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"10","1844655","cusparse_fix_bench","127.0.0.1","void spmv_fixup_kernel_v2<256, 8, int, float, float>(const T3 *, const T4 *, int, KernelCoeff<T4>, T5 *, T3 *, T4 *)","1","7","(256, 1, 1)","(3, 1, 1)","0","8.0","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","0.34"
"10","1844655","cusparse_fix_bench","127.0.0.1","void spmv_fixup_kernel_v2<256, 8, int, float, float>(const T3 *, const T4 *, int, KernelCoeff<T4>, T5 *, T3 *, T4 *)","1","7","(256, 1, 1)","(3, 1, 1)","0","8.0","Command line profiler metrics","gpu__time_duration.sum","ns","7,648"
"10","1844655","cusparse_fix_bench","127.0.0.1","void spmv_fixup_kernel_v2<256, 8, int, float, float>(const T3 *, const T4 *, int, KernelCoeff<T4>, T5 *, T3 *, T4 *)","1","7","(256, 1, 1)","(3, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_red.sum","","0"
"10","1844655","cusparse_fix_bench","127.0.0.1","void spmv_fixup_kernel_v2<256, 8, int, float, float>(const T3 *, const T4 *, int, KernelCoeff<T4>, T5 *, T3 *, T4 *)","1","7","(256, 1, 1)","(3, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","37.29"
"10","1844655","cusparse_fix_bench","127.0.0.1","void spmv_fixup_kernel_v2<256, 8, int, float, float>(const T3 *, const T4 *, int, KernelCoeff<T4>, T5 *, T3 *, T4 *)","1","7","(256, 1, 1)","(3, 1, 1)","0","8.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","80.87"
"10","1844655","cusparse_fix_bench","127.0.0.1","void spmv_fixup_kernel_v2<256, 8, int, float, float>(const T3 *, const T4 *, int, KernelCoeff<T4>, T5 *, T3 *, T4 *)","1","7","(256, 1, 1)","(3, 1, 1)","0","8.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","0.15"
"10","1844655","cusparse_fix_bench","127.0.0.1","void spmv_fixup_kernel_v2<256, 8, int, float, float>(const T3 *, const T4 *, int, KernelCoeff<T4>, T5 *, T3 *, T4 *)","1","7","(256, 1, 1)","(3, 1, 1)","0","8.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","10.26"
"10","1844655","cusparse_fix_bench","127.0.0.1","void spmv_fixup_kernel_v2<256, 8, int, float, float>(const T3 *, const T4 *, int, KernelCoeff<T4>, T5 *, T3 *, T4 *)","1","7","(256, 1, 1)","(3, 1, 1)","0","8.0","Command line profiler metrics","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","%","31.06"
"11","1844655","cusparse_fix_bench","127.0.0.1","void spmv_fixup_kernel_v2<256, 8, int, float, float>(const T3 *, const T4 *, int, KernelCoeff<T4>, T5 *, T3 *, T4 *)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes_read.sum","byte","9,600"
"11","1844655","cusparse_fix_bench","127.0.0.1","void spmv_fixup_kernel_v2<256, 8, int, float, float>(const T3 *, const T4 *, int, KernelCoeff<T4>, T5 *, T3 *, T4 *)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"11","1844655","cusparse_fix_bench","127.0.0.1","void spmv_fixup_kernel_v2<256, 8, int, float, float>(const T3 *, const T4 *, int, KernelCoeff<T4>, T5 *, T3 *, T4 *)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","0.09"
"11","1844655","cusparse_fix_bench","127.0.0.1","void spmv_fixup_kernel_v2<256, 8, int, float, float>(const T3 *, const T4 *, int, KernelCoeff<T4>, T5 *, T3 *, T4 *)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","gpu__time_duration.sum","ns","5,280"
"11","1844655","cusparse_fix_bench","127.0.0.1","void spmv_fixup_kernel_v2<256, 8, int, float, float>(const T3 *, const T4 *, int, KernelCoeff<T4>, T5 *, T3 *, T4 *)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_red.sum","","0"
"11","1844655","cusparse_fix_bench","127.0.0.1","void spmv_fixup_kernel_v2<256, 8, int, float, float>(const T3 *, const T4 *, int, KernelCoeff<T4>, T5 *, T3 *, T4 *)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","76.92"
"11","1844655","cusparse_fix_bench","127.0.0.1","void spmv_fixup_kernel_v2<256, 8, int, float, float>(const T3 *, const T4 *, int, KernelCoeff<T4>, T5 *, T3 *, T4 *)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","87.74"
"11","1844655","cusparse_fix_bench","127.0.0.1","void spmv_fixup_kernel_v2<256, 8, int, float, float>(const T3 *, const T4 *, int, KernelCoeff<T4>, T5 *, T3 *, T4 *)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","0.05"
"11","1844655","cusparse_fix_bench","127.0.0.1","void spmv_fixup_kernel_v2<256, 8, int, float, float>(const T3 *, const T4 *, int, KernelCoeff<T4>, T5 *, T3 *, T4 *)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","10.01"
"11","1844655","cusparse_fix_bench","127.0.0.1","void spmv_fixup_kernel_v2<256, 8, int, float, float>(const T3 *, const T4 *, int, KernelCoeff<T4>, T5 *, T3 *, T4 *)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","%","19.46"
